#{"t_start": 1753846520.0343614, "env_id": "None"}
r,l,t
150.08528,938,16.574704
144.28864,1093,16.899362
194.10323,1195,17.138664
179.00899,1331,27.769158
202.12042,1482,28.075763
195.84409,1614,28.358448
251.09143,1748,28.635375
344.27896,1934,38.522681
283.47427,1954,38.598829
350.12878,2039,38.793801
131.88448,988,39.484957
174.2855,1200,39.624707
149.54427,919,39.866564
209.50238,2326,40.047007
427.79117,2363,40.153559
309.16977,2461,40.37131
267.6087,1447,53.107533
457.0088,3072,53.166638
214.25352,1541,62.967969
823.712,3383,63.176597
215.01929,1201,63.344578
267.14835,2032,63.496005
401.9876,2321,63.539125
542.2144,4000,74.378667
255.80193,1924,74.427291
240.77933,1641,75.223883
158.19998,1093,75.361676
273.06805,1970,75.721486
113.60425,1078,88.256647
520.87646,2871,88.708202
138.94955,952,99.43117
130.63138,715,99.509626
187.31421,1207,99.552115
321.2782,2040,100.041369
352.73135,2685,100.45538
712.4801,3876,110.788709
475.80023,2440,110.851453
390.28232,1951,111.132719
412.16013,4000,111.321633
154.47086,782,111.459266
501.05002,4000,111.584527
602.34827,3918,112.417122
385.70587,3066,112.663658
146.19618,1365,121.690073
552.1595,2624,121.920743
230.6673,1293,122.089945
129.49457,680,122.269955
247.9958,1186,122.343265
141.62778,889,122.528794
171.96222,1140,133.777111
302.38345,2022,133.955841
258.47574,1395,134.082015
671.1897,4000,134.315673
352.40268,1781,134.604945
215.90613,1368,145.31082
316.599,1705,145.39511
368.24533,1948,145.485493
805.4047,4000,145.947462
77.39113,574,146.034932
279.3628,1485,156.637794
1131.0656,3636,156.740793
316.888,1663,156.879102
160.37778,841,157.01546
251.37892,1346,157.740886
93.187744,697,169.88571
426.84143,2440,169.943649
324.854,1666,170.377817
357.89087,2105,170.452106
171.82028,1112,170.705001
298.50827,1933,178.943131
378.3366,2568,179.218296
717.342,2820,179.349006
531.6036,2573,179.45423
723.1088,3512,180.0709
144.77098,1001,180.176823
561.4056,3496,190.566698
164.25482,1088,190.845987
491.09415,2531,190.909229
241.4346,1371,190.995703
220.71202,1295,191.558941
569.5733,1948,201.774522
463.02145,3113,202.229135
551.7934,2646,202.448195
293.2076,1426,202.66338
212.56265,1357,212.74605
377.77148,2330,213.143456
616.7046,3375,213.251091
327.91367,1774,213.577697
147.01561,998,213.899327
357.66748,1788,224.420694
301.08026,2054,224.901233
422.99966,2161,225.117065
209.24051,1525,235.203194
301.61798,1693,235.431858
160.95459,1107,235.485809
349.32498,2801,236.371354
271.96606,1520,236.58588
211.17651,1226,236.747962
915.1127,2577,246.729901
299.6348,1627,247.084697
582.74255,4000,247.35367
880.8988,4000,247.696554
844.39044,4000,247.861024
521.03845,2374,248.165641
224.51328,1174,259.171723
376.93567,1761,261.510036
168.2845,917,274.508567
671.46594,3906,274.57157
370.87314,2164,274.862862
253.86304,1592,274.925335
502.76636,2765,275.631672
317.68945,1520,275.836253
295.7839,1652,288.117727
301.21402,2052,288.314124
673.32074,2992,289.156871
424.03308,2086,301.031495
293.22522,1336,301.265515
486.6796,2969,301.526719
637.8967,1711,302.049756
504.5741,2966,303.403483
621.69904,4000,303.595597
366.24744,1762,317.016237
294.51364,1189,317.200359
455.75076,2244,317.536336
299.01886,1807,327.778036
1255.3617,4000,327.856959
227.46526,1351,328.429535
924.594,3582,328.797111
288.27994,1639,329.052143
105.789856,428,329.129416
219.65463,1282,329.491084
175.67073,1116,342.034525
565.1445,3480,342.637224
340.73978,1603,354.212726
1031.1515,3968,354.263139
569.38434,3382,354.486325
835.81287,4000,355.068341
595.818,3178,366.101305
364.5842,1762,366.527756
295.36,1557,366.604258
317.90005,1533,367.028662
301.94562,1408,367.258758
610.2361,3379,378.788763
555.2337,2688,378.971752
192.95789,881,379.01928
510.45346,1329,379.144618
352.70865,1554,379.570062
786.08997,4000,379.779225
575.697,2695,379.975058
730.96,4000,395.90456
792.2401,3489,396.07683
422.35287,1780,407.617069
299.51538,1550,407.661494
248.99318,1374,408.009195
333.10803,1140,408.442233
1457.8165,3899,408.568117
153.95999,664,408.691414
895.7724,2593,421.562336
288.8116,1239,433.957374
465.4479,2437,433.998186
882.4671,4000,435.303672
607.193,2489,435.402124
260.44174,1093,435.507925
692.57007,2691,435.680111
618.0403,3080,446.358839
361.22855,1496,446.402646
925.345,3485,446.937418
896.8041,4000,447.043216
183.8339,837,457.758618
866.2624,3981,457.865468
504.15192,2265,458.13513
503.90033,2966,458.718681
232.63356,1228,470.0511
2010.6686,3778,471.333643
499.08768,1951,471.571191
1268.674,2702,482.550078
445.86823,2126,482.810961
731.4975,2386,483.01286
1233.2927,4000,483.101491
1159.0094,4000,493.086325
679.4418,2977,493.339141
671.7021,2388,493.907489
586.8382,2459,494.166305
364.51,890,506.506482
1229.1847,4000,506.914339
671.31085,3063,507.00499
499.58237,2203,507.217749
610.8854,2874,508.135035
833.9695,2910,517.131326
578.9106,2492,517.435663
995.09283,2146,517.622059
643.45856,2533,517.819908
1886.4088,4000,517.982107
736.4455,2288,529.061702
370.68518,1565,529.271285
276.23477,1114,529.371128
1094.0548,2523,529.804147
450.2102,1871,530.225681
412.69763,1804,542.773052
268.1761,1186,543.107566
365.61963,1979,543.230643
306.7826,1128,543.379104
557.6499,2507,544.347617
332.08212,1376,554.849181
788.10266,3571,555.904491
620.21545,2264,567.112198
872.62646,4000,567.388973
417.63986,3210,567.891144
570.3992,2512,579.494398
460.58905,1670,579.569658
585.91223,1946,579.646427
503.1042,2849,580.067893
538.517,2431,580.361495
547.83844,2161,580.54913
743.66254,3171,591.662651
1005.5365,4000,592.27036
415.17014,1832,592.634962
176.99022,1209,606.412395
672.6159,3019,606.608704
368.3757,1525,606.751649
219.3166,999,606.979332
296.93292,1360,607.053909
449.33975,1604,607.689888
909.96747,4000,608.038155
946.365,3436,620.497502
364.62915,1780,620.658537
683.2822,1590,620.757181
528.1873,2599,621.012232
281.66647,1192,633.59155
294.31802,1109,633.64415
867.2475,1279,633.799465
251.48135,577,633.849038
1311.6447,4000,634.998969
233.99193,1080,635.146646
511.37814,2493,647.575583
464.33286,2142,647.624214
624.79175,2357,647.895597
1037.6805,4000,648.241543
255.20193,1478,648.612743
433.0951,1528,648.7283
130.6614,536,661.798551
242.2011,844,662.34246
696.585,1734,662.672361
985.5526,1740,662.856618
518.833,1866,675.176924
361.02582,1372,675.608087
821.16785,3510,676.958791
610.2446,2075,677.039736
1233.0225,3621,677.776567
1035.5115,3444,686.968683
382.3785,1802,687.359504
361.15787,1104,687.584895
309.74857,1242,687.840966
696.77106,2424,688.222545
262.09753,1285,699.175499
1452.718,3002,699.227782
854.5252,3825,699.921257
445.70798,2030,700.479178
715.5129,2298,700.725803
1114.5344,3937,712.572904
1013.949,2175,714.227024
360.0896,1557,714.626614
186.88388,749,726.457443
621.39465,2271,726.561983
305.0851,1057,726.615739
456.40738,1928,727.667744
1311.305,4000,728.082128
369.64005,1409,728.139343
677.30975,2173,738.045995
745.4377,2195,738.364288
530.0434,1238,738.610098
1263.2756,3416,751.442529
717.2366,2006,751.553701
1813.6293,4000,752.293423
774.69305,3400,753.369153
1324.934,3656,753.517291
713.5888,1740,764.14328
513.99414,2353,764.272318
863.049,2395,764.498112
958.13196,3837,775.632215
1182.1055,2700,775.769111
480.87125,771,775.892604
804.7234,1993,776.367812
166.11728,417,776.867741
448.54208,1531,789.089709
719.3576,2457,789.400568
471.89032,817,789.631959
1362.4893,3328,790.45166
1215.1482,3246,803.107251
586.5651,2535,803.677388
363.89694,1413,803.741619
1792.4725,4000,803.813893
724.20953,3251,804.417251
760.0866,1533,804.664712
2221.6248,3168,816.14703
1140.9242,2350,816.43412
274.56912,531,816.672595
758.9812,1519,817.006382
489.23834,2221,827.605947
1013.59717,1668,828.2132
208.5194,797,828.449999
712.30786,1712,828.557572
652.02893,1565,828.763275
833.9864,3379,829.073928
1840.017,4000,837.115368
307.10126,1105,838.147048
1146.0171,2690,838.393634
711.892,2657,838.817045
682.00433,1311,839.09864
890.13995,1697,839.4031
1620.0359,2303,839.444176
1858.5533,4000,849.480488
308.65942,597,849.868086
